91523,Adele,"United Kingdom",2008-01-17,2016-02-20
top100-uk,11,2011-07-14,ms038634,"Set Fire To The Rain"
top100-uk,11,2011-07-21,ms038634,"Set Fire To The Rain"
top100-uk,12,2011-07-28,ms038634,"Set Fire To The Rain"
top100-uk,13,2011-08-04,ms038634,"Set Fire To The Rain"
top100-uk,13,2011-08-11,ms038634,"Set Fire To The Rain"
top100-uk,14,2011-08-18,ms038634,"Set Fire To The Rain"
top100-uk,17,2011-08-25,ms038634,"Set Fire To The Rain"
top100-uk,15,2011-09-01,ms038634,"Set Fire To The Rain"
top100-uk,20,2011-09-08,ms038634,"Set Fire To The Rain"
top100-uk,21,2011-09-15,ms038634,"Set Fire To The Rain"
top100-uk,25,2011-09-25,ms038634,"Set Fire To The Rain"
top100-uk,26,2011-10-02,ms038634,"Set Fire To The Rain"
top100-uk,26,2011-10-09,ms038634,"Set Fire To The Rain"
top100-uk,29,2011-10-16,ms038634,"Set Fire To The Rain"
top100-uk,38,2011-10-23,ms038634,"Set Fire To The Rain"
top100-uk,36,2011-10-30,ms038634,"Set Fire To The Rain"
top100-uk,21,2011-11-06,ms038634,"Set Fire To The Rain"
top100-uk,30,2011-11-13,ms038634,"Set Fire To The Rain"
top100-uk,45,2011-11-20,ms038634,"Set Fire To The Rain"
top100-uk,51,2011-11-27,ms038634,"Set Fire To The Rain"
top100-uk,51,2011-12-04,ms038634,"Set Fire To The Rain"
top100-uk,61,2011-12-11,ms038634,"Set Fire To The Rain"
top100-uk,56,2011-12-18,ms038634,"Set Fire To The Rain"
top100-uk,59,2011-12-25,ms038634,"Set Fire To The Rain"
top100-uk,32,2012-01-01,ms038634,"Set Fire To The Rain"
top100-uk,35,2012-01-08,ms038634,"Set Fire To The Rain"
top100-uk,44,2012-01-15,ms038634,"Set Fire To The Rain"
top100-uk,53,2012-01-22,ms038634,"Set Fire To The Rain"
top100-uk,54,2012-01-29,ms038634,"Set Fire To The Rain"
top100-uk,59,2012-02-05,ms038634,"Set Fire To The Rain"
top100-uk,64,2012-02-12,ms038634,"Set Fire To The Rain"
top100-uk,57,2012-02-19,ms038634,"Set Fire To The Rain"
top100-uk,41,2012-02-26,ms038634,"Set Fire To The Rain"
top100-uk,52,2012-03-04,ms038634,"Set Fire To The Rain"
top100-uk,59,2012-03-11,ms038634,"Set Fire To The Rain"
top100-uk,63,2012-03-18,ms038634,"Set Fire To The Rain"
top100-uk,59,2012-03-25,ms038634,"Set Fire To The Rain"
top100-uk,51,2012-04-01,ms038634,"Set Fire To The Rain"
top100-uk,59,2012-04-08,ms038634,"Set Fire To The Rain"
top100-uk,67,2012-04-17,ms038634,"Set Fire To The Rain"
top100-uk,83,2012-04-22,ms038634,"Set Fire To The Rain"
top100-uk,80,2012-04-29,ms038634,"Set Fire To The Rain"
top100-uk,75,2012-05-06,ms038634,"Set Fire To The Rain"
top100-uk,78,2012-05-13,ms038634,"Set Fire To The Rain"
top100-uk,91,2012-05-20,ms038634,"Set Fire To The Rain"
top100-uk,62,2011-05-05,ms043758,"Turning Tables"
top100-uk,80,2011-05-12,ms043758,"Turning Tables"
top100-uk,68,2011-09-08,ms043758,"Turning Tables"
top100-uk,2,2008-01-17,ms048173,"Chasing Pavements"
